Product Group,Product Name,Scenario,Total Emissions (kgCO2e),Final Yield (%),Final Mass (kg),Intensity (kgCO2e/m2 output),Origin,Processor,Route A Mode,Route A Dist (km),Emissions_Assembly,Emissions_Breaking,Emissions_Disassembly,Emissions_Dismantling,Emissions_Dismantling (E_site),Emissions_Dismantling/Removal,Emissions_Installation,Emissions_Landfill Transport (Waste),Emissions_Open-Loop Transport,Emissions_Packaging,Emissions_Recondition,Emissions_Repair,Emissions_Repurposing,Emissions_Transport A,Emissions_Transport B,Emissions_Transport B (Float)
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,System Reuse,426.409,100.0,7500.0,1.137,"52.3730796,4.8924534","51.4392648,5.478633",HGV lorry,125.059,,,,,56.25,,56.25,0.0,,0.0,,0.0,,153.344,160.565,
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Component Reuse,1966.471,80.0,6000.0,6.555,"52.3730796,4.8924534","51.4392648,5.478633",HGV lorry,125.059,811.972,,300.0,,56.25,,45.0,21.781,,0.0,450.0,,,153.344,128.124,
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Component Repurpose,1427.133,90.0,6750.0,4.229,"52.3730796,4.8924534","51.4392648,5.478633",HGV lorry,125.059,,,337.5,,56.25,,50.625,10.891,,0.0,,,675.0,153.344,143.523,
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Closed-loop Recycling,344.622,80.0,6000.0,1.149,"52.3730796,4.8924534","51.4392648,5.478633",HGV lorry,125.059,,0.0,,,,56.25,,21.781,,,,,,153.344,,113.246
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Open-loop Recycling,325.031,20.0,1500.0,4.334,"52.3730796,4.8924534","51.4392648,5.478633",HGV lorry,125.059,,0.0,,56.25,,,,87.125,28.312,,,,,153.344,,
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Straight to Landfill,197.391,0.0,0.0,0.0,"52.3730796,4.8924534","51.4392648,5.478633",HGV lorry,125.059,,,,56.25,,,,141.141,,,,,,,,
1. ORIGINAL COATINGS 100% AIR,1.2_DGU_44.2_16_6_Bronze,System Reuse,426.409,100.0,7500.0,1.137,"52.3730796,4.8924534","51.4392648,5.478633",HGV lorry,125.059,,,,,56.25,,56.25,0.0,,0.0,,0.0,,153.344,160.565,
1. ORIGINAL COATINGS 100% AIR,1.2_DGU_44.2_16_6_Bronze,Component Reuse,1966.471,80.0,6000.0,6.555,"52.3730796,4.8924534","51.4392648,5.478633",HGV lorry,125.059,811.972,,300.0,,56.25,,45.0,21.781,,0.0,450.0,,,153.344,128.124,
1. ORIGINAL COATINGS 100% AIR,1.2_DGU_44.2_16_6_Bronze,Component Repurpose,1427.133,90.0,6750.0,4.229,"52.3730796,4.8924534","51.4392648,5.478633",HGV lorry,125.059,,,337.5,,56.25,,50.625,10.891,,0.0,,,675.0,153.344,143.523,
1. ORIGINAL COATINGS 100% AIR,1.2_DGU_44.2_16_6_Bronze,Closed-loop Recycling,318.501,0.0,0.0,0.0,"52.3730796,4.8924534","51.4392648,5.478633",HGV lorry,125.059,,0.0,,,,56.25,,108.907,,,,,,153.344,,0.0
