Product ID,Product Name,Scenario,Total Emissions (kgCO2e),Yield (%),Intensity (kgCO2e/m²),Recovered Mass (kg),[Stage] Removal,[Stage] Transport: Site->Processor,[Stage] Pre-Processing (Breaking),[Stage] Dismantling,[Stage] Disassembly,[Stage] Repurposing,[Stage] Reconditioning,[Stage] Repair,[Stage] IGU Assembly,[Stage] Packaging,[Stage] Transport: Processor->Reuse,[Stage] Transport: Processor->Float,[Stage] Transport: Open-Loop,[Stage] Transport: Disposal,[Stage] Installation,Origin,Processor,Route A Mode,Route A Dist (km),Emissions_Dismantling (E_site)
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,System Reuse (Direct),8.471,100.0,3.388,76.7,0.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.701,0.0,0.0,0.0,0.375,"52.0114017,4.35839","50.8465573,4.351697",HGV lorry,163.603,0.375
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,System Reuse (Repair),10.396,80.0,5.198,61.36,0.0,4.02,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.339,0.0,0.0,0.362,0.3,"52.0114017,4.35839","50.8465573,4.351697",HGV lorry,163.603,0.375
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Component Reuse,19.876,80.0,9.938,61.36,0.0,4.02,0.0,0.0,2.0,0.0,3.0,0.0,6.48,0.0,3.339,0.0,0.0,0.362,0.3,"52.0114017,4.35839","50.8465573,4.351697",HGV lorry,163.603,0.375
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Repurpose (Light),12.934,90.0,5.748,69.03,0.0,4.02,0.0,0.0,2.25,2.25,0.0,0.0,0.0,0.0,3.52,0.0,0.0,0.181,0.337,"52.0114017,4.35839","50.8465573,4.351697",HGV lorry,163.603,0.375
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Repurpose (Medium),15.184,90.0,6.748,69.03,0.0,4.02,0.0,0.0,2.25,4.5,0.0,0.0,0.0,0.0,3.52,0.0,0.0,0.181,0.337,"52.0114017,4.35839","50.8465573,4.351697",HGV lorry,163.603,0.375
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Repurpose (Heavy),17.434,90.0,7.748,69.03,0.0,4.02,0.0,0.0,2.25,6.75,0.0,0.0,0.0,0.0,3.52,0.0,0.0,0.181,0.337,"52.0114017,4.35839","50.8465573,4.351697",HGV lorry,163.603,0.375
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Closed-loop (Intact),6.486,80.0,3.243,61.36,0.375,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729,0.0,0.362,0.0,"52.0114017,4.35839","50.8465573,4.351697",HGV lorry,163.603,0.0
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Closed-loop (Broken),4.559,80.0,2.279,61.36,0.375,1.968,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729,0.0,0.362,0.0,"52.0114017,4.35839","50.8465573,4.351697",HGV lorry,163.603,0.0
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Open-loop (Intact),6.276,20.0,12.553,15.34,0.0,4.02,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432,1.449,0.0,"52.0114017,4.35839","50.8465573,4.351697",HGV lorry,163.603,0.0
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Open-loop (Broken),4.349,20.0,8.698,15.34,0.0,1.968,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432,1.449,0.0,"52.0114017,4.35839","50.8465573,4.351697",HGV lorry,163.603,0.0
